factura_id,fecha_emision,fecha_vencimiento,fecha_pago,cliente_id,cliente,sector,ciudad,vendedor,dias_credito,valor_factura,estado
F2025-0039,2025-01-24,2025-02-23,2025-02-27,C010,Café y Cosecha,Agroindustria,Bucaramanga,L. Vargas,30,9500000,pagada
F2025-0040,2025-01-14,2025-02-13,2025-02-12,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,C. Peña,30,11000000,pagada
F2025-0041,2025-01-12,2025-02-11,2025-02-26,C018,Ingeniería y Concreto,Construcción,Cali,C. Peña,30,26700000,pagada
F2025-0042,2025-01-11,2025-02-10,2025-03-03,C027,Constructora Horizonte,Construcción,Medellín,C. Peña,30,12700000,pagada
F2025-0043,2025-01-01,2025-01-31,2025-03-07,C027,Constructora Horizonte,Construcción,Medellín,A. Rojas,30,47800000,pagada
F2025-0044,2025-01-21,2025-03-22,2025-04-15,C019,Plásticos del Pacífico,Manufactura,Barranquilla,A. Rojas,60,27000000,pagada
F2025-0045,2025-01-08,2025-02-07,2025-02-06,C035,Tecnología Andina,Retail,Bucaramanga,C. Peña,30,11400000,pagada
F2025-0046,2025-01-14,2025-03-15,2025-03-20,C023,Electrodomésticos La Rebaja,Retail,Cali,D. Torres,60,7900000,pagada
F2025-0047,2025-01-05,2025-02-19,2025-02-26,C004,Ferretería La 80,Retail,Barranquilla,C. Peña,45,8900000,pagada
F2025-0048,2025-01-28,2025-03-14,2025-03-09,C031,Seguridad Total Ltda,Servicios,Bogotá,A. Rojas,45,6400000,pagada
F2025-0049,2025-01-22,2025-03-23,2025-03-22,C023,Electrodomésticos La Rebaja,Retail,Cali,D. Torres,60,5700000,pagada
F2025-0050,2025-01-01,2025-01-31,2025-02-02,C026,Calzado Bucaramanga,Manufactura,Bogotá,J. Mora,30,7700000,pagada
F2025-0051,2025-01-13,2025-03-14,2025-03-12,C023,Electrodomésticos La Rebaja,Retail,Cali,A. Rojas,60,10600000,pagada
F2025-0052,2025-01-28,2025-03-29,2025-04-04,C023,Electrodomésticos La Rebaja,Retail,Cali,C. Peña,60,13300000,pagada
F2025-0053,2025-02-19,2025-04-05,2025-04-25,C013,Constructora Cimientos,Construcción,Cali,D. Torres,45,10000000,pagada
F2025-0054,2025-02-07,2025-03-09,2025-03-02,C039,Eventos y Banquetes Real,Servicios,Barranquilla,L. Vargas,30,3600000,pagada
F2025-0055,2025-02-23,2025-04-09,2025-04-01,C021,Consultores Empresariales BGA,Servicios,Bogotá,D. Torres,45,24000000,pagada
F2025-0056,2025-02-17,2025-04-18,2025-05-05,C012,Comercial Santa Fe,Retail,Medellín,C. Peña,60,9900000,pagada
F2025-0057,2025-02-09,2025-03-11,2025-03-19,C039,Eventos y Banquetes Real,Servicios,Barranquilla,D. Torres,30,5800000,pagada
F2025-0058,2025-02-05,2025-03-07,2025-03-07,C037,Alimentos La Espiga,Manufactura,Medellín,D. Torres,30,11800000,pagada
F2025-0059,2025-02-04,2025-03-21,2025-03-21,C020,Droguería Vital,Servicios,Bucaramanga,A. Rojas,45,5800000,pagada
F2025-0060,2025-02-05,2025-03-22,2025-03-28,C001,Almacenes El Dorado,Retail,Bogotá,D. Torres,45,6600000,pagada
F2025-0061,2025-02-20,2025-04-21,2025-04-26,C024,Vidrios y Aluminios Cali,Manufactura,Barranquilla,L. Vargas,60,15000000,pagada
F2025-0062,2025-02-15,2025-04-16,2025-04-12,C023,Electrodomésticos La Rebaja,Retail,Cali,D. Torres,60,8500000,pagada
F2025-0063,2025-02-02,2025-04-03,2025-04-23,C006,Textiles Antioquia,Manufactura,Bogotá,J. Mora,60,13400000,pagada
F2025-0064,2025-02-16,2025-03-18,2025-03-14,C026,Calzado Bucaramanga,Manufactura,Bogotá,A. Rojas,30,16700000,pagada
F2025-0065,2025-02-11,2025-03-13,2025-03-05,C034,Muebles Modernos,Manufactura,Barranquilla,A. Rojas,30,15700000,pagada
F2025-0066,2025-02-24,2025-03-26,2025-04-01,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,J. Mora,30,11300000,pagada
F2025-0067,2025-02-03,2025-03-05,2025-03-11,C029,Autopartes La 30,Retail,Barranquilla,C. Peña,30,12900000,pagada
F2025-0068,2025-02-28,2025-04-29,2025-05-03,C006,Textiles Antioquia,Manufactura,Bogotá,J. Mora,60,11300000,pagada
F2025-0069,2025-02-18,2025-04-04,2025-04-05,C030,Lácteos San Fernando,Manufactura,Bucaramanga,L. Vargas,45,12300000,pagada
F2025-0070,2025-02-16,2025-04-02,2025-04-17,C017,Modas Capital,Retail,Medellín,L. Vargas,45,9100000,pagada
F2025-0071,2025-02-13,2025-03-30,2025-04-02,C001,Almacenes El Dorado,Retail,Bogotá,C. Peña,45,7600000,pagada
F2025-0072,2025-02-08,2025-03-10,2025-02-28,C039,Eventos y Banquetes Real,Servicios,Barranquilla,A. Rojas,30,5500000,pagada
F2025-0073,2025-02-12,2025-03-29,2025-03-19,C007,Servicios Logísticos Andinos,Servicios,Medellín,D. Torres,45,14100000,pagada
F2025-0074,2025-02-11,2025-04-12,2025-04-13,C024,Vidrios y Aluminios Cali,Manufactura,Barranquilla,A. Rojas,60,12100000,pagada
F2025-0075,2025-02-20,2025-04-06,2025-04-19,C008,Supermercados La Economía,Retail,Cali,J. Mora,45,7300000,pagada
F2025-0076,2025-02-26,2025-03-28,2025-04-09,C038,Química Industrial CB,Manufactura,Cali,D. Torres,30,30500000,pagada
F2025-0077,2025-02-15,2025-04-01,2025-04-06,C030,Lácteos San Fernando,Manufactura,Bucaramanga,C. Peña,45,30700000,pagada
F2025-0078,2025-02-23,2025-03-25,2025-03-27,C033,Granos del Tolima,Agroindustria,Cali,A. Rojas,30,8800000,pagada
F2025-0079,2025-02-09,2025-03-11,2025-03-03,C018,Ingeniería y Concreto,Construcción,Cali,D. Torres,30,34300000,pagada
F2025-0080,2025-02-20,2025-04-21,2025-06-12,C019,Plásticos del Pacífico,Manufactura,Barranquilla,J. Mora,60,12800000,pagada
F2025-0081,2025-02-03,2025-03-05,2025-03-13,C026,Calzado Bucaramanga,Manufactura,Bogotá,D. Torres,30,31800000,pagada
F2025-0082,2025-02-27,2025-04-28,2025-04-20,C032,Acabados y Pinturas,Construcción,Medellín,A. Rojas,60,21300000,pagada
F2025-0083,2025-02-23,2025-03-25,2025-04-01,C034,Muebles Modernos,Manufactura,Barranquilla,L. Vargas,30,27600000,pagada
F2025-0084,2025-02-23,2025-04-09,2025-04-11,C001,Almacenes El Dorado,Retail,Bogotá,J. Mora,45,5400000,pagada
F2025-0085,2025-02-17,2025-03-19,2025-04-29,C027,Constructora Horizonte,Construcción,Medellín,A. Rojas,30,16300000,pagada
F2025-0086,2025-02-16,2025-03-18,2025-03-08,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,J. Mora,30,13200000,pagada
F2025-0087,2025-02-15,2025-04-16,2025-04-21,C012,Comercial Santa Fe,Retail,Medellín,D. Torres,60,8800000,pagada
F2025-0088,2025-02-14,2025-03-16,2025-03-13,C034,Muebles Modernos,Manufactura,Barranquilla,L. Vargas,30,5500000,pagada
F2025-0089,2025-02-04,2025-03-06,2025-03-21,C011,Metalmecánica Bolívar,Manufactura,Bogotá,D. Torres,30,6900000,pagada
F2025-0090,2025-02-19,2025-04-20,2025-04-17,C032,Acabados y Pinturas,Construcción,Medellín,C. Peña,60,32200000,pagada
F2025-0091,2025-02-19,2025-04-20,2025-05-30,C019,Plásticos del Pacífico,Manufactura,Barranquilla,L. Vargas,60,22600000,pagada
F2025-0092,2025-02-22,2025-03-24,2025-03-19,C010,Café y Cosecha,Agroindustria,Bucaramanga,D. Torres,30,11300000,pagada
F2025-0093,2025-02-09,2025-04-10,2025-04-15,C014,Panificadora Central,Manufactura,Barranquilla,A. Rojas,60,13100000,pagada
F2025-0094,2025-02-27,2025-03-29,2025-03-29,C022,Maderas del Quindío,Manufactura,Medellín,A. Rojas,30,8700000,pagada
F2025-0095,2025-02-21,2025-04-07,2025-04-02,C031,Seguridad Total Ltda,Servicios,Bogotá,C. Peña,45,4700000,pagada
F2025-0096,2025-02-22,2025-04-08,2025-04-10,C025,Frutas Exóticas Export,Agroindustria,Bucaramanga,J. Mora,45,14600000,pagada
F2025-0097,2025-02-28,2025-03-30,2025-04-08,C038,Química Industrial CB,Manufactura,Cali,D. Torres,30,20600000,pagada
F2025-0098,2025-02-04,2025-03-06,2025-03-06,C035,Tecnología Andina,Retail,Bucaramanga,A. Rojas,30,24200000,pagada
F2025-0099,2025-02-04,2025-03-21,2025-03-19,C031,Seguridad Total Ltda,Servicios,Bogotá,D. Torres,45,13400000,pagada
F2025-0100,2025-02-01,2025-03-18,2025-03-08,C025,Frutas Exóticas Export,Agroindustria,Bucaramanga,D. Torres,45,18000000,pagada
F2025-0101,2025-02-09,2025-04-10,2025-04-05,C012,Comercial Santa Fe,Retail,Medellín,A. Rojas,60,4100000,pagada
F2025-0102,2025-02-09,2025-03-26,2025-03-30,C017,Modas Capital,Retail,Medellín,D. Torres,45,10800000,pagada
F2025-0103,2025-02-04,2025-03-06,2025-03-08,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,J. Mora,30,3500000,pagada
F2025-0104,2025-02-08,2025-03-10,2025-03-18,C015,Transportes El Rápido,Servicios,Bucaramanga,J. Mora,30,8000000,pagada
F2025-0105,2025-02-28,2025-03-30,2025-04-02,C038,Química Industrial CB,Manufactura,Cali,J. Mora,30,10400000,pagada
F2025-0106,2025-02-03,2025-03-05,2025-03-11,C018,Ingeniería y Concreto,Construcción,Cali,C. Peña,30,24400000,pagada
F2025-0107,2025-02-07,2025-03-09,2025-03-12,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,L. Vargas,30,9200000,pagada
F2025-0108,2025-03-18,2025-05-02,2025-05-02,C008,Supermercados La Economía,Retail,Cali,D. Torres,45,10500000,pagada
F2025-0109,2025-03-20,2025-05-04,2025-05-01,C001,Almacenes El Dorado,Retail,Bogotá,J. Mora,45,12900000,pagada
F2025-0110,2025-03-06,2025-04-05,2025-04-02,C037,Alimentos La Espiga,Manufactura,Medellín,D. Torres,30,8700000,pagada
F2025-0111,2025-03-22,2025-05-21,2025-05-25,C012,Comercial Santa Fe,Retail,Medellín,D. Torres,60,7800000,pagada
F2025-0112,2025-03-05,2025-04-04,2025-05-07,C027,Constructora Horizonte,Construcción,Medellín,D. Torres,30,39900000,pagada
F2025-0113,2025-03-17,2025-04-16,2025-04-16,C037,Alimentos La Espiga,Manufactura,Medellín,D. Torres,30,22600000,pagada
F2025-0114,2025-03-27,2025-04-26,2025-06-01,C002,Constructora Monserrate,Construcción,Medellín,J. Mora,30,26100000,pagada
F2025-0115,2025-03-12,2025-04-26,2025-05-16,C001,Almacenes El Dorado,Retail,Bogotá,L. Vargas,45,20500000,pagada
F2025-0116,2025-03-04,2025-04-18,2025-04-29,C001,Almacenes El Dorado,Retail,Bogotá,J. Mora,45,9100000,pagada
F2025-0117,2025-03-12,2025-04-26,2025-04-27,C007,Servicios Logísticos Andinos,Servicios,Medellín,L. Vargas,45,7600000,pagada
F2025-0118,2025-03-12,2025-05-11,2025-05-01,C003,Distribuciones Caribe,Retail,Cali,L. Vargas,60,5800000,pagada
F2025-0119,2025-03-17,2025-04-16,2025-04-14,C033,Granos del Tolima,Agroindustria,Cali,C. Peña,30,6000000,pagada
F2025-0120,2025-03-12,2025-04-26,2025-05-07,C025,Frutas Exóticas Export,Agroindustria,Bucaramanga,A. Rojas,45,23900000,pagada
F2025-0121,2025-03-17,2025-05-01,2025-04-30,C040,Repuestos El Motor,Retail,Bucaramanga,D. Torres,45,9900000,pagada
F2025-0122,2025-03-19,2025-04-18,2025-04-25,C033,Granos del Tolima,Agroindustria,Cali,C. Peña,30,10900000,pagada
F2025-0123,2025-03-23,2025-04-22,2025-04-14,C039,Eventos y Banquetes Real,Servicios,Barranquilla,D. Torres,30,10500000,pagada
F2025-0124,2025-03-18,2025-04-17,2025-04-21,C010,Café y Cosecha,Agroindustria,Bucaramanga,L. Vargas,30,32200000,pagada
F2025-0125,2025-03-21,2025-05-20,2025-05-27,C012,Comercial Santa Fe,Retail,Medellín,L. Vargas,60,8900000,pagada
F2025-0126,2025-03-15,2025-04-14,2025-04-09,C034,Muebles Modernos,Manufactura,Barranquilla,C. Peña,30,13000000,pagada
F2025-0127,2025-03-09,2025-04-08,2025-04-15,C010,Café y Cosecha,Agroindustria,Bucaramanga,L. Vargas,30,6800000,pagada
F2025-0128,2025-03-24,2025-05-23,2025-05-23,C003,Distribuciones Caribe,Retail,Cali,D. Torres,60,10000000,pagada
F2025-0129,2025-03-10,2025-04-09,2025-05-28,C027,Constructora Horizonte,Construcción,Medellín,A. Rojas,30,19100000,pagada
F2025-0130,2025-03-21,2025-04-20,2025-04-10,C033,Granos del Tolima,Agroindustria,Cali,J. Mora,30,8600000,pagada
F2025-0131,2025-03-24,2025-04-23,2025-05-03,C039,Eventos y Banquetes Real,Servicios,Barranquilla,C. Peña,30,12000000,pagada
F2025-0132,2025-03-17,2025-04-16,2025-04-06,C038,Química Industrial CB,Manufactura,Cali,D. Torres,30,7100000,pagada
F2025-0133,2025-03-27,2025-04-26,2025-05-01,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,D. Torres,30,29700000,pagada
F2025-0134,2025-03-09,2025-04-23,2025-04-13,C031,Seguridad Total Ltda,Servicios,Bogotá,J. Mora,45,8000000,pagada
F2025-0135,2025-03-11,2025-04-10,2025-04-11,C034,Muebles Modernos,Manufactura,Barranquilla,J. Mora,30,14600000,pagada
F2025-0136,2025-03-06,2025-04-05,2025-04-13,C028,Papelería Nacional,Retail,Cali,J. Mora,30,9900000,pagada
F2025-0137,2025-03-05,2025-04-04,2025-04-20,C033,Granos del Tolima,Agroindustria,Cali,L. Vargas,30,15000000,pagada
F2025-0138,2025-03-16,2025-04-15,2025-04-29,C034,Muebles Modernos,Manufactura,Barranquilla,J. Mora,30,9400000,pagada
F2025-0139,2025-03-04,2025-04-03,2025-04-02,C018,Ingeniería y Concreto,Construcción,Cali,C. Peña,30,41400000,pagada
F2025-0140,2025-03-03,2025-04-02,2025-05-13,C002,Constructora Monserrate,Construcción,Medellín,D. Torres,30,23300000,pagada
F2025-0141,2025-03-14,2025-05-13,2025-06-08,C019,Plásticos del Pacífico,Manufactura,Barranquilla,C. Peña,60,11900000,pagada
F2025-0142,2025-03-26,2025-04-25,2025-05-14,C009,Obras Civiles del Norte,Construcción,Barranquilla,A. Rojas,30,27000000,pagada
F2025-0143,2025-03-09,2025-04-08,2025-04-20,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,J. Mora,30,7800000,pagada
F2025-0144,2025-03-14,2025-04-13,2025-04-03,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,L. Vargas,30,7000000,pagada
F2025-0145,2025-03-24,2025-04-23,2025-04-23,C028,Papelería Nacional,Retail,Cali,D. Torres,30,9500000,pagada
F2025-0146,2025-03-19,2025-05-03,2025-05-06,C021,Consultores Empresariales BGA,Servicios,Bogotá,J. Mora,45,6100000,pagada
F2025-0147,2025-03-11,2025-04-10,2025-04-17,C022,Maderas del Quindío,Manufactura,Medellín,L. Vargas,30,19200000,pagada
F2025-0148,2025-03-24,2025-05-08,2025-05-12,C030,Lácteos San Fernando,Manufactura,Bucaramanga,J. Mora,45,18000000,pagada
F2025-0149,2025-03-24,2025-04-23,2025-04-23,C022,Maderas del Quindío,Manufactura,Medellín,C. Peña,30,13500000,pagada
F2025-0150,2025-03-17,2025-04-16,2025-04-07,C026,Calzado Bucaramanga,Manufactura,Bogotá,D. Torres,30,8800000,pagada
F2025-0151,2025-03-14,2025-04-28,2025-04-23,C004,Ferretería La 80,Retail,Barranquilla,A. Rojas,45,6700000,pagada
F2025-0152,2025-03-12,2025-04-11,2025-04-13,C035,Tecnología Andina,Retail,Bucaramanga,C. Peña,30,9900000,pagada
F2025-0153,2025-03-05,2025-04-04,2025-04-12,C018,Ingeniería y Concreto,Construcción,Cali,C. Peña,30,33000000,pagada
F2025-0154,2025-03-01,2025-04-15,2025-04-21,C007,Servicios Logísticos Andinos,Servicios,Medellín,D. Torres,45,4800000,pagada
F2025-0155,2025-03-09,2025-04-08,2025-04-09,C033,Granos del Tolima,Agroindustria,Cali,D. Torres,30,5200000,pagada
F2025-0156,2025-03-08,2025-04-22,2025-04-25,C030,Lácteos San Fernando,Manufactura,Bucaramanga,J. Mora,45,9300000,pagada
F2025-0157,2025-03-28,2025-05-27,2025-06-09,C003,Distribuciones Caribe,Retail,Cali,L. Vargas,60,15500000,pagada
F2025-0158,2025-03-22,2025-05-06,2025-04-26,C008,Supermercados La Economía,Retail,Cali,C. Peña,45,10000000,pagada
F2025-0159,2025-03-27,2025-05-11,2025-05-04,C001,Almacenes El Dorado,Retail,Bogotá,A. Rojas,45,7400000,pagada
F2025-0160,2025-03-04,2025-04-03,2025-03-26,C011,Metalmecánica Bolívar,Manufactura,Bogotá,J. Mora,30,34400000,pagada
F2025-0161,2025-03-16,2025-04-30,2025-05-16,C004,Ferretería La 80,Retail,Barranquilla,A. Rojas,45,9500000,pagada
F2025-0162,2025-03-28,2025-04-27,2025-05-15,C029,Autopartes La 30,Retail,Barranquilla,L. Vargas,30,9500000,pagada
F2025-0163,2025-03-21,2025-05-05,2025-04-25,C021,Consultores Empresariales BGA,Servicios,Bogotá,C. Peña,45,5400000,pagada
F2025-0164,2025-03-02,2025-04-16,2025-04-14,C040,Repuestos El Motor,Retail,Bucaramanga,L. Vargas,45,7000000,pagada
F2025-0165,2025-03-28,2025-05-12,2025-05-02,C030,Lácteos San Fernando,Manufactura,Bucaramanga,C. Peña,45,15600000,pagada
F2025-0166,2025-03-12,2025-04-26,2025-05-09,C025,Frutas Exóticas Export,Agroindustria,Bucaramanga,C. Peña,45,7700000,pagada
F2025-0167,2025-03-16,2025-04-30,2025-05-06,C021,Consultores Empresariales BGA,Servicios,Bogotá,D. Torres,45,4900000,pagada
F2025-0168,2025-03-24,2025-05-23,2025-05-13,C003,Distribuciones Caribe,Retail,Cali,L. Vargas,60,10400000,pagada
F2025-0169,2025-03-02,2025-05-01,2025-05-05,C003,Distribuciones Caribe,Retail,Cali,J. Mora,60,5300000,pagada
F2025-0170,2025-04-09,2025-05-09,2025-05-09,C029,Autopartes La 30,Retail,Barranquilla,A. Rojas,30,7300000,pagada
F2025-0171,2025-04-17,2025-05-17,2025-06-25,C027,Constructora Horizonte,Construcción,Medellín,D. Torres,30,10100000,pagada
F2025-0172,2025-04-26,2025-06-10,2025-06-10,C031,Seguridad Total Ltda,Servicios,Bogotá,A. Rojas,45,14900000,pagada
F2025-0173,2025-04-11,2025-05-26,2025-06-02,C001,Almacenes El Dorado,Retail,Bogotá,D. Torres,45,5200000,pagada
F2025-0174,2025-04-01,2025-05-01,2025-05-04,C035,Tecnología Andina,Retail,Bucaramanga,L. Vargas,30,5700000,pagada
F2025-0175,2025-04-10,2025-05-25,2025-05-15,C030,Lácteos San Fernando,Manufactura,Bucaramanga,L. Vargas,45,12100000,pagada
F2025-0176,2025-04-22,2025-06-06,2025-06-05,C030,Lácteos San Fernando,Manufactura,Bucaramanga,C. Peña,45,9300000,pagada
F2025-0177,2025-04-26,2025-05-26,2025-05-16,C016,Insumos Agrícolas Llanos,Retail,Bogotá,L. Vargas,30,3900000,pagada
F2025-0178,2025-04-26,2025-05-26,2025-05-16,C033,Granos del Tolima,Agroindustria,Cali,C. Peña,30,7900000,pagada
F2025-0179,2025-04-17,2025-05-17,2025-05-13,C016,Insumos Agrícolas Llanos,Retail,Bogotá,L. Vargas,30,9600000,pagada
F2025-0180,2025-04-07,2025-05-07,2025-06-18,C002,Constructora Monserrate,Construcción,Medellín,C. Peña,30,32000000,pagada
F2025-0181,2025-04-25,2025-05-25,2025-05-30,C037,Alimentos La Espiga,Manufactura,Medellín,C. Peña,30,16600000,pagada
F2025-0182,2025-04-23,2025-05-23,2025-06-01,C010,Café y Cosecha,Agroindustria,Bucaramanga,L. Vargas,30,9300000,pagada
F2025-0183,2025-04-14,2025-05-14,2025-05-12,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,C. Peña,30,17600000,pagada
F2025-0184,2025-04-23,2025-06-07,2025-06-06,C025,Frutas Exóticas Export,Agroindustria,Bucaramanga,D. Torres,45,8000000,pagada
F2025-0185,2025-04-06,2025-05-06,2025-05-21,C010,Café y Cosecha,Agroindustria,Bucaramanga,D. Torres,30,14300000,pagada
F2025-0186,2025-04-19,2025-05-19,2025-05-23,C035,Tecnología Andina,Retail,Bucaramanga,L. Vargas,30,7000000,pagada
F2025-0187,2025-04-13,2025-05-13,2025-05-03,C018,Ingeniería y Concreto,Construcción,Cali,J. Mora,30,33800000,pagada
F2025-0188,2025-04-03,2025-05-18,2025-05-08,C001,Almacenes El Dorado,Retail,Bogotá,D. Torres,45,6000000,pagada
F2025-0189,2025-04-02,2025-05-02,2025-05-02,C039,Eventos y Banquetes Real,Servicios,Barranquilla,J. Mora,30,4300000,pagada
F2025-0190,2025-04-09,2025-05-24,2025-05-17,C021,Consultores Empresariales BGA,Servicios,Bogotá,J. Mora,45,5800000,pagada
F2025-0191,2025-04-11,2025-05-11,2025-05-05,C011,Metalmecánica Bolívar,Manufactura,Bogotá,D. Torres,30,22400000,pagada
F2025-0192,2025-04-06,2025-05-06,2025-05-06,C028,Papelería Nacional,Retail,Cali,C. Peña,30,10900000,pagada
F2025-0193,2025-04-12,2025-05-12,2025-05-20,C022,Maderas del Quindío,Manufactura,Medellín,D. Torres,30,13900000,pagada
F2025-0194,2025-04-25,2025-05-25,2025-06-29,C002,Constructora Monserrate,Construcción,Medellín,C. Peña,30,21900000,pagada
F2025-0195,2025-04-14,2025-05-29,2025-06-06,C031,Seguridad Total Ltda,Servicios,Bogotá,D. Torres,45,3200000,pagada
F2025-0196,2025-04-22,2025-06-06,2025-06-07,C017,Modas Capital,Retail,Medellín,C. Peña,45,5400000,pagada
F2025-0197,2025-04-10,2025-05-10,2025-04-30,C028,Papelería Nacional,Retail,Cali,L. Vargas,30,3000000,pagada
F2025-0198,2025-04-20,2025-05-20,2025-06-30,C036,Construred,Construcción,Bogotá,C. Peña,30,42500000,pagada
F2025-0199,2025-04-27,2025-06-11,2025-06-03,C025,Frutas Exóticas Export,Agroindustria,Bucaramanga,L. Vargas,45,6000000,pagada
